orientation x, orientation y, orientation z, accel x, accel y, accel z
0.16822793, 0.1995363, 0.12829635, -36.132813, -3.4179688, 1022.9492
0.16889025, 0.20203634, 0.13166393, -16.113281, -2.9296875, 1015.625
0.16824341, 0.20182736, 0.13598286, -25.390625, 10.253906, 1017.5781
0.1637843, 0.2051863, 0.13764772, -24.414063, 7.8125, 1009.7656
0.16389866, 0.21041866, 0.14262274, -24.902344, 8.300781, 1011.71875
0.16082092, 0.21134107, 0.1427232, -29.296875, -5.3710938, 1002.9297
0.15733024, 0.21704878, 0.1462516, -31.738281, 12.6953125, 999.5117
0.1552637, 0.21610598, 0.15114652, -31.738281, 16.113281, 1007.8125
0.14976586, 0.22001259, 0.14885972, -16.601563, 10.7421875, 992.1875
0.14498255, 0.22403471, 0.15168837, -37.109375, 13.671875, 1001.9531
0.14266369, 0.22105332, 0.15354346, -37.597656, 7.3242188, 1010.2539
0.13708992, 0.21920498, 0.15825531, -23.925781, 9.277344, 1003.41797
0.12859653, 0.22411522, 0.156568, -36.132813, 7.3242188, 1004.39453
0.12255432, 0.22579896, 0.15929085, -35.64453, 15.136719, 1005.8594
0.11941569, 0.22604968, 0.1616866, -28.320313, 3.90625, 1004.39453
0.114459224, 0.22718176, 0.16072574, -41.503906, 23.4375, 994.1406
0.10824884, 0.22772528, 0.1617504, -33.203125, 10.7421875, 1008.3008
0.10428657, 0.2251655, 0.16448672, -39.55078, 23.925781, 1000
0.099463806, 0.22785886, 0.16428253, -39.55078, 25.390625, 1001.46484
0.09269893, 0.2290821, 0.1701485, -19.53125, 18.554688, 1003.90625
0.088938266, 0.22850904, 0.17333612, -34.179688, 19.53125, 991.6992
0.084825635, 0.22904676, 0.1736249, -39.55078, 37.109375, 1007.8125
0.08096002, 0.22999232, 0.17429234, -21.484375, 19.042969, 998.53516
0.08130497, 0.22864126, 0.17610332, -33.203125, 10.7421875, 1000
0.080006406, 0.22851141, 0.18062046, -39.0625, 39.0625, 1001.46484
0.07779444, 0.2285207, 0.17876168, -44.433594, 34.179688, 992.6758
0.08181219, 0.22917648, 0.18263164, -32.714844, 22.949219, 997.0703
0.0805031, 0.22918597, 0.18223323, -28.320313, 43.945313, 991.21094
0.0798484, 0.22767438, 0.18175183, -38.085938, 36.621094, 1013.6719
0.08403553, 0.22955488, 0.18203901, -48.828125, 44.433594, 994.6289
0.08860468, 0.2320621, 0.18566915, -42.48047, 36.132813, 1007.8125
0.09391371, 0.23082589, 0.18544874, -41.015625, 23.4375, 1006.34766
0.10085782, 0.23091654, 0.1852493, -22.949219, 32.714844, 1007.8125
0.107967526, 0.23283912, 0.18737175, -30.273438, 34.66797, 1001.46484
0.115104936, 0.2343615, 0.18921047, -28.808594, 42.96875, 1024.4141
0.119765945, 0.23688702, 0.18805985, -27.34375, 25.390625, 1017.08984
0.12920073, 0.2393227, 0.19137275, -44.433594, 19.53125, 1021.97266
0.1374901, 0.24248406, 0.19162089, -32.226563, 23.4375, 1017.5781
0.1460595, 0.24514621, 0.19326288, -26.367188, 24.414063, 1012.20703
0.15084781, 0.25006002, 0.19088803, -38.57422, 15.625, 1020.01953
0.15873685, 0.25218925, 0.1912884, -33.691406, 22.949219, 1012.20703
0.1641919, 0.2558691, 0.18663773, -41.503906, 21.972656, 1018.5547
0.16747962, 0.26251027, 0.18427998, -31.738281, 15.625, 1013.6719
0.17498656, 0.26198363, 0.1839257, -35.15625, 12.6953125, 1027.3438
0.17995228, 0.26724946, 0.18119729, -26.855469, 9.277344, 1010.2539
0.18821576, 0.2676617, 0.18018544, -27.34375, 5.859375, 1009.27734
0.19385411, 0.2670456, 0.1787105, -30.273438, 16.601563, 1024.4141
0.19347483, 0.27176225, 0.17519002, -24.902344, 2.9296875, 1010.7422
0.19769272, 0.2758018, 0.17429829, -33.691406, 6.3476563, 1005.8594
0.19852419, 0.27647445, 0.1703932, -31.738281, -2.4414063, 1009.27734
0.19909447, 0.277615, 0.16887246, -18.066406, 2.9296875, 999.02344
0.2025333, 0.2822223, 0.17102885, -5.3710938, -2.9296875, 999.02344
0.20426507, 0.28445536, 0.16500413, -10.7421875, -7.3242188, 1008.3008
0.20678003, 0.28438944, 0.1657671, -10.253906, -0.48828125, 1015.1367
0.21198973, 0.2865507, 0.16786231, -13.183594, 1.953125, 1010.7422
0.21453092, 0.2886849, 0.16304795, -17.089844, -12.207031, 1008.78906
0.21537617, 0.2911207, 0.16159375, -17.578125, -10.7421875, 1013.6719
0.21694805, 0.29381397, 0.164057, -6.3476563, -7.8125, 1003.41797
0.21987799, 0.2968008, 0.16723347, -12.6953125, -19.53125, 1019.53125
0.21934304, 0.3016054, 0.16849157, -16.113281, -6.3476563, 1003.90625
0.21813232, 0.3050117, 0.16962098, -8.300781, -8.7890625, 1017.08984
0.22034499, 0.30388182, 0.1765509, -22.949219, -19.042969, 1011.71875
0.21856901, 0.30751792, 0.17810254, -11.71875, -8.7890625, 1007.8125
0.21631151, 0.30903885, 0.1799487, -13.183594, 2.9296875, 1003.41797
0.21783102, 0.3111991, 0.18402207, -21.484375, -1.953125, 1005.8594
0.21377876, 0.3127164, 0.1834207, -11.71875, -20.996094, 1013.1836
0.21234657, 0.31269705, 0.18998173, -26.855469, -1.4648438, 1009.27734
0.2074416, 0.31463322, 0.18873705, -25.390625, 6.3476563, 1012.6953
0.20334125, 0.31717545, 0.19140685, -33.691406, 9.277344, 1015.1367
0.20260814, 0.31972706, 0.19736695, -33.691406, 18.554688, 1014.16016
0.19764076, 0.32269022, 0.19812453, -29.296875, 14.6484375, 1005.3711
0.1934006, 0.32864177, 0.20131741, -40.039063, 11.71875, 1005.8594
0.19176693, 0.33113417, 0.20666875, -37.109375, 10.253906, 1003.90625
0.18707111, 0.33327532, 0.21264191, -46.38672, 16.113281, 1004.8828
0.18025318, 0.33531108, 0.21201773, -38.085938, 23.925781, 994.1406
0.17818849, 0.3386165, 0.21520948, -39.55078, 24.902344, 985.83984
0.17274027, 0.34042594, 0.21889797, -37.597656, 24.414063, 988.28125
0.16889854, 0.3435346, 0.22485542, -41.992188, 14.6484375, 985.83984
0.16157784, 0.34540576, 0.22814444, -32.714844, 20.996094, 979.98047
0.15566774, 0.34827745, 0.2254673, -50.78125, 31.738281, 980.95703
0.1527657, 0.3495098, 0.23022781, -36.621094, 34.179688, 966.3086
0.14906766, 0.35028213, 0.23016421, -23.925781, 29.296875, 981.4453
0.14253928, 0.3511955, 0.23169295, -23.4375, 34.66797, 988.76953
0.13917334, 0.34742528, 0.2327554, -37.597656, 30.273438, 976.5625
0.13794263, 0.34657478, 0.23451643, -30.273438, 32.714844, 973.6328
0.13258176, 0.34801283, 0.23691016, -37.109375, 30.761719, 979.4922
0.1300429, 0.350365, 0.23292454, -29.785156, 37.597656, 982.4219
0.1337117, 0.34608787, 0.237314, -35.15625, 28.808594, 969.72656
0.13279308, 0.35081217, 0.23810138, -21.484375, 44.433594, 973.6328
0.13586317, 0.3515867, 0.23700958, -10.253906, 34.66797, 966.3086
0.14198397, 0.35281843, 0.24061953, -34.66797, 39.55078, 981.9336
0.14540614, 0.35439715, 0.23868781, -26.855469, 34.66797, 981.4453
0.14966021, 0.35462487, 0.23786797, -18.066406, 19.042969, 973.6328
0.15880606, 0.35568306, 0.23991822, -26.855469, 30.761719, 977.53906
0.16506079, 0.35590404, 0.23654585, -31.738281, 28.808594, 988.28125
0.17112753, 0.3561479, 0.23429276, -32.226563, 30.761719, 997.5586
0.1808241, 0.3559994, 0.23543409, -25.390625, 33.691406, 993.16406
0.19570258, 0.35476837, 0.23357788, -33.203125, 28.320313, 997.5586
0.2095083, 0.35305843, 0.23251888, -25.878906, 30.273438, 1002.4414
0.2236862, 0.35231125, 0.22972389, -26.367188, 26.367188, 1019.04297
0.23980157, 0.3494578, 0.22856526, -19.53125, 28.808594, 1010.2539
0.25539297, 0.3475746, 0.22870865, -17.578125, 21.972656, 1026.8555
0.27134067, 0.3464001, 0.22537933, -34.66797, 18.554688, 1018.5547
0.28717873, 0.34527546, 0.222656, -27.34375, 7.8125, 1035.1563
0.3060133, 0.34238148, 0.223064, -32.226563, 8.7890625, 1035.6445
0.32551092, 0.33647555, 0.22411574, -28.320313, 20.996094, 1048.3398
0.33913875, 0.33778962, 0.22230543, -23.4375, 12.6953125, 1037.5977
0.35310587, 0.33677348, 0.22061826, -29.296875, 17.578125, 1057.1289
0.36994773, 0.33052585, 0.22100039, -32.714844, 2.4414063, 1048.3398
0.38635164, 0.3286847, 0.2190297, -32.714844, 3.4179688, 1063.9648
0.3991532, 0.33039927, 0.21575466, -32.226563, 10.253906, 1074.2188
0.41128886, 0.33162138, 0.21383153, -26.367188, -6.3476563, 1075.1953
0.4267397, 0.32765245, 0.21431437, -26.367188, 5.3710938, 1078.125
0.44099444, 0.3267568, 0.21541741, -44.433594, 6.8359375, 1072.2656
0.4506201, 0.32774895, 0.2157036, -32.714844, 0, 1081.0547
0.46178612, 0.3278966, 0.22212638, -44.433594, -5.3710938, 1083.4961
0.47221395, 0.3274959, 0.22329915, -36.132813, 3.90625, 1081.0547
0.48165274, 0.32920855, 0.22808108, -41.992188, -6.3476563, 1085.4492
0.48607725, 0.32992706, 0.22772183, -41.992188, 1.4648438, 1081.543
0.49265182, 0.33284274, 0.23172374, -45.410156, -2.9296875, 1087.8906
0.4968133, 0.33426163, 0.23365687, -49.804688, -6.3476563, 1094.7266
0.49984002, 0.33545512, 0.23737106, -54.19922, 4.3945313, 1080.5664
0.4973982, 0.34335124, 0.23461115, -46.38672, -2.4414063, 1083.4961
0.49847806, 0.3453356, 0.23903213, -53.710938, -8.7890625, 1098.1445
0.49274606, 0.3496946, 0.24097161, -53.222656, 2.9296875, 1083.4961
0.48444837, 0.35585755, 0.24092521, -52.246094, 6.8359375, 1074.707
0.47975922, 0.35780254, 0.24563363, -57.128906, -2.9296875, 1085.4492
0.4730544, 0.3583977, 0.2502647, -53.710938, 5.859375, 1069.3359
0.46196413, 0.36737645, 0.25061664, -45.898438, 7.3242188, 1066.8945
0.45237887, 0.37365842, 0.25539017, -40.039063, -0.48828125, 1062.0117
0.44033, 0.37657592, 0.2629681, -52.734375, 12.207031, 1058.1055
0.42322934, 0.38475072, 0.2636999, -59.08203, 4.8828125, 1052.7344
0.40523544, 0.39151347, 0.26644754, -47.851563, 12.207031, 1043.457
0.38965046, 0.39849007, 0.27264246, -47.851563, 10.7421875, 1039.5508
0.37298214, 0.40364543, 0.27561447, -57.128906, 6.3476563, 1030.7617
0.3545071, 0.40892658, 0.27862456, -39.0625, 12.207031, 1022.46094
0.33792302, 0.41190925, 0.28143734, -46.38672, 12.6953125, 1014.64844
0.31820035, 0.41869125, 0.27942786, -43.945313, 16.601563, 1000.4883
0.2942638, 0.42636135, 0.2819942, -48.339844, 22.460938, 998.53516
0.27426314, 0.43005106, 0.2863252, -55.664063, 16.601563, 993.65234
0.2554009, 0.43465346, 0.288334, -42.48047, 32.714844, 999.02344
0.2335672, 0.43785366, 0.28876415, -34.179688, 36.132813, 980.95703
0.21527807, 0.44310743, 0.29714942, -33.691406, 31.738281, 975.09766
0.19795462, 0.44673976, 0.29907736, -47.851563, 33.203125, 964.35547
0.17929025, 0.44939935, 0.30366093, -37.109375, 26.855469, 966.7969
0.16271204, 0.45166, 0.31078202, -41.503906, 26.855469, 962.8906
0.14780137, 0.4533385, 0.31578022, -47.36328, 47.36328, 953.6133
0.12985034, 0.4572273, 0.3185816, -49.316406, 43.945313, 946.28906
0.11686823, 0.45709434, 0.32350096, -37.597656, 56.152344, 946.28906
0.10329818, 0.45919892, 0.32542256, -44.921875, 41.503906, 938.47656
0.087847546, 0.46208748, 0.32938132, -52.734375, 53.222656, 945.8008
0.077677146, 0.46487203, 0.33025777, -53.710938, 59.08203, 937.0117
0.07329913, 0.46420357, 0.33633992, -53.222656, 54.6875, 946.77734
0.067530684, 0.4656503, 0.33646894, -39.0625, 65.42969, 949.21875
0.06513299, 0.46665674, 0.3419945, -54.6875, 60.546875, 948.2422
0.064725906, 0.4645658, 0.3454177, -64.94141, 61.523438, 950.1953
0.06333343, 0.46334156, 0.34678215, -63.476563, 61.035156, 951.1719
0.06856446, 0.46249756, 0.3491936, -61.523438, 77.14844, 961.4258
