time, rot x, rot y, rot z, accel x, accel y, accel z
8.159971527, 2.5496182, 0.35114503, 1.1984733, 23.925781, 30.761719, 1016.60156
8.161187849, 0.16030534, -1.2900764, 0.7557252, 11.71875, 49.804688, 1010.2539
8.162411598, -1.6641221, 0.77862597, -3.4198472, 29.296875, 43.45703, 1017.08984
8.163661172, 1.4274809, 0.22900763, 0.73282444, 28.808594, 51.757813, 1011.23047
8.164871088, -2.4122138, 1.2137405, 1.9770992, 19.53125, 50.78125, 1014.64844
8.166087598, 0.41221374, -2.2366412, 1.480916, 15.136719, 28.808594, 1014.16016
8.167313949, 2.1908398, -2.870229, 1.2290076, 22.460938, 42.96875, 1000.4883
8.168566463, -1.1984733, 2.8396947, 0.870229, 27.34375, 34.179688, 1010.7422
8.169767458, 2.7251909, -0.4427481, 2.076336, 13.671875, 30.273438, 1003.90625
8.170990877, -0.061068702, 1.5038168, -2.1755726, 11.71875, 33.203125, 1013.6719
8.172296467, -1.4274809, 5.519084, -2.29771, 5.3710938, 40.039063, 1029.7852
8.173539701, -0.9847328, 1.221374, 1.3664122, 15.625, 40.527344, 1019.53125
8.174741432, 1.908397, -2.1450381, 3.7862597, 18.066406, 34.66797, 1025.8789
8.175969871, -1.5038168, 4.2824426, -0.79389316, 20.019531, 37.109375, 1012.20703
8.177188725, 2.5114503, -1.6870229, 0.22900763, 20.019531, 42.48047, 1001.9531
8.178437969, 0.65648854, -2.4122138, 4.8702292, 15.136719, 40.039063, 1013.6719
8.179635105, -0.48854962, 3.7480917, -2.6335878, 20.019531, 41.015625, 1021.4844
8.18086714, 0.34351146, -0.32824427, 1.038168, 25.390625, 38.57422, 1010.2539
8.182097451, -1.038168, 2.6946564, 0.71755725, 9.765625, 27.832031, 1014.64844
8.183316825, 0.86259544, 0.610687, 1.2290076, 18.066406, 49.804688, 1004.8828
8.184539722, 0.3816794, -2, 1.4656489, 24.414063, 32.226563, 1009.27734
8.185761061000001, -2.3664122, 0.96183205, -1.4045801, 24.902344, 39.55078, 1018.5547
8.187015125, -0.9312977, 1.3129771, 3.5801528, 20.019531, 57.128906, 1006.34766
8.188289744, 3.0992367, -1.3282443, 0.7557252, 23.4375, 44.921875, 1003.41797
8.189511028, -0.49618322, 0.7557252, 0.5648855, 31.738281, 53.710938, 1017.08984
8.190775571, -1.70229, 5.0916033, -3.7633588, 27.34375, 39.55078, 1015.1367
8.191965122, 0.8549618, -2.7099237, 2.7175572, 22.460938, 47.851563, 1012.6953
8.193187769, -1.3587786, 1.0534351, -0.48854962, 14.6484375, 45.898438, 1013.6719
8.194411611, 1.4732825, 2.4961832, 2.091603, 6.8359375, 40.039063, 1011.71875
8.195656623, 0.23664123, -0.740458, 1.5877863, 32.714844, 46.875, 1018.5547
8.196857442, -1.7251909, 0.3053435, 0.061068702, 23.925781, 47.36328, 1016.60156
8.198094969, 2.167939, 2.480916, 1.389313, 22.949219, 48.339844, 1024.9023
8.199316071, -2.5267177, 1.2366412, -0.7633588, 11.71875, 53.710938, 1021.4844
8.200566725, -1.8396946, 0.519084, -1.7557251, 17.089844, 43.45703, 1018.0664
8.201688244, 0.7633588, 1.0992366, 2.0687022, 18.066406, 46.875, 1013.6719
8.202993728, -0.73282444, 2.3435113, -1.2900764, 21.484375, 48.339844, 1020.9961
8.204292027, -1.4351145, 0.90076333, 0.9236641, 11.230469, 41.992188, 1017.08984
8.205547184, 3.4503818, 0.8091603, 0.86259544, 14.160156, 32.226563, 1011.71875
8.206742495, 0.6335878, 0.48091602, 2.1755726, 11.71875, 43.945313, 1010.2539
8.207978842, -0.9236641, 0.259542, 1.0458015, 14.160156, 38.57422, 1009.7656
8.209214151, 1.5725191, -0.52671754, 2.816794, 18.066406, 44.921875, 1020.5078
8.210438379, -1.2900764, 3.29771, -2.3664122, 17.089844, 36.621094, 1015.1367
8.211641971, -1.259542, 3.351145, 0.23664123, 11.71875, 50.78125, 1012.6953
8.212862236, 1.8854961, -1.5648855, 1.9847329, 11.71875, 41.992188, 1021.97266
8.214087856, 0.6259542, 2.557252, -0.9236641, 16.113281, 49.804688, 1013.6719
8.215314227, 0.18320611, 0.41984734, 2.4503818, 15.625, 47.851563, 1014.64844
8.21654875, 0.84732825, -1.2900764, 1.6259542, 28.808594, 48.828125, 1009.27734
8.217765915, -1.7251909, 2.9694657, 0.79389316, 24.414063, 40.527344, 1021.4844
8.219014034, 2.076336, -0.49618322, 2.0076337, 12.207031, 36.621094, 1016.60156
8.220287368, 2.6564887, 0.16793893, 0.8244275, 16.601563, 52.246094, 1008.78906
8.221518681, -1.9847329, 0.71755725, -1.5648855, 16.601563, 50.29297, 1016.60156
8.22277519, -1.2519084, 0.9236641, -0.53435117, 22.949219, 40.039063, 1020.5078
8.223965488, 1.7557251, 0.6870229, 2.793893, 20.507813, 36.132813, 1008.3008
8.225188769, -1.2061069, 2.221374, -1.5801526, 17.089844, 42.96875, 1018.0664
8.226451551, 1.4427481, -0.66412216, 2.053435, 11.230469, 48.828125, 1014.16016
8.227639783, 0.7251908, 0.83206105, 0.7251908, 11.71875, 45.410156, 1011.23047
8.228862667, 0.259542, 2, -1.129771, 24.414063, 39.0625, 1004.39453
8.230124914, 2.076336, -1.870229, 4.7938933, 20.507813, 38.085938, 1015.625
8.23131377, -2.1526718, 2.8091602, 1.0610687, 20.019531, 45.898438, 1005.3711
8.232532823, -1.4274809, 2.259542, -4.5725193, 23.925781, 41.015625, 1011.23047
8.233764189, 0.15267175, -3.312977, 2.2748091, 25.878906, 41.503906, 1006.83594
8.235015805, -2.1450381, 2.778626, -0.57251906, 17.089844, 48.339844, 1028.3203
8.23628969, 0.32824427, 2.6946564, 0.6793893, 5.3710938, 53.710938, 1008.78906
8.237515915, 2.183206, -0.8396947, 0.83206105, 18.066406, 45.410156, 1016.1133
8.238739533, 1.7862595, 0.7480916, 4.9770994, 25.878906, 49.316406, 1011.23047
8.23999076, -2.1603053, 1.5954199, -0.41984734, 16.601563, 37.597656, 1019.53125
